EXPEDIENTE;TIPO COMPAÑIA;CIUDAD;TAMAÑO;SECTOR;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
709159;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10000.00;10000.00;13252.61;0.00
717466;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10000.00;10000.00;0.00;0.00
719159;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10000.00;10000.00;0.00;0.00
719708;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10000.00;10000.00;0.00;0.00
713762;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;9000.00;9000.00;0.00;0.00
721037;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;9000.00;9000.00;0.00;0.00
721117;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;9000.00;9000.00;0.00;0.00
173871;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;8412.15;8412.15;0.00;0.00
308761;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;8116.65;1000.00;0.00;0.00
130501;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;8000.00;8000.00;0.00;0.00
106473;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;7279.37;800.00;0.00;0.00
118238;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;6635.10;6509.00;0.00;0.00
307499;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;6404.84;6268.35;3085.01;268.35
123890;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;5940.57;5940.57;0.00;0.00
311186;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;5462.96;1344.04;15206.13;544.04
23013;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;4329.70;4329.70;0.00;0.00
22367;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;4292.86;4292.86;0.00;0.00
700002;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;4286.53;3586.53;110123.79;-1426.64
82897;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;4098.59;3341.89;21332.91;2112.92
69408;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;4000.00;4000.00;0.00;0.00
67856;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;3223.52;3123.52;0.00;0.00
128067;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2763.64;2763.64;0.00;0.00
73116;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2631.71;2631.71;0.00;0.00
716843;SUCURSAL  EXTRANJERA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2174.00;2000.00;0.00;0.00
69511;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2126.00;2126.00;0.00;0.00
134994;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2037.93;1612.40;5600.00;15.05
72117;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;2000.00;2000.00;0.00;0.00
170753;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1935.49;1935.49;800.00;360.36
147544;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1921.68;-15098.33;60.00;22.50
172913;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1803.11;800.00;745.75;0.00
122049;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1412.98;1412.98;0.00;487.93
300209;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1385.45;1225.35;0.00;179.39
122543;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1302.23;0.00;0.00;0.00
147704;ANÓNIMA;SANTA LUCIA                                       ;MICROEMPRESA   ;SOCIETARIO;1285.46;630.79;0.00;0.00
700663;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1215.59;1215.59;0.00;0.00
716076;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1149.29;1000.00;18198.25;0.00
121387;ANÓNIMA;ELOY ALFARO                                       ;MICROEMPRESA   ;SOCIETARIO;1000.00;1000.00;0.00;0.00
133913;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1000.00;1000.00;0.00;0.00
134890;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1000.00;1000.00;0.00;0.00
148217;ANÓNIMA;NARANJITO                                         ;MICROEMPRESA   ;SOCIETARIO;1000.00;1000.00;0.00;0.00
308565;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;1000.00;1000.00;0.00;0.00
702649;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;950.20;950.20;0.00;0.00
164876;ANÓNIMA;NARANJITO                                         ;MICROEMPRESA   ;SOCIETARIO;910.00;910.00;0.00;30.00
128065;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;853.02;853.02;0.00;0.00
40925;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;821.92;821.92;0.00;-46.18
67957;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;817.27;225.01;580.00;-574.99
40857;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;809.60;800.00;0.00;0.00
132752;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;809.60;800.00;0.00;0.00
170132;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;807.50;800.00;50.00;0.00
9818;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
63355;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
75761;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
83628;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
84353;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
100123;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
101602;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
102266;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;-8464.51;2232.15;-9264.51
110675;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
119250;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
120579;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
122968;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
123256;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
127155;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
129104;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
129212;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
130087;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
130838;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;800.00;800.00;0.00;0.00
131966;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
135264;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
142498;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
149434;ANÓNIMA;NARANJITO                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
165823;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
166941;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
172230;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
173807;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
174127;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
303428;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
307919;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;633.96;11.90;8.93
312595;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
711124;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
711836;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
717504;ANÓNIMA;NARANJITO                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
720638;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
721035;ANÓNIMA;ELOY ALFARO                                       ;MICROEMPRESA   ;SOCIETARIO;800.00;800.00;0.00;0.00
178273;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;697.90;697.90;0.00;0.00
147028;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;500.00;500.00;0.00;0.00
720615;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;400.00;400.00;0.00;0.00
22408;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
68377;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
104212;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
111869;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
112237;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
113763;ANÓNIMA;GUAYAQUIL                                         ;MEDIANA        ;SOCIETARIO;0.00;0.00;0.00;0.00
115693;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
119663;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
168918;ANÓNIMA;DAULE                                             ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
180795;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;0.00;0.00;0.00;0.00
