EXPEDIENTE;TIPO;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
44056;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36600,24;31114,23;0;0
61822;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36598,92;15492,19;132557,92;17375,56
111173;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36583,63;34865,15;7624;379,82
122343;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36582,68;30389,62;19043,39;2208,45
171497;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36569,1;-8530,74;0;0
117293;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36556,23;1256,18;6724,16;410,56
707783;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36547,95;15756,04;117346,6;9902,76
138567;ANÓNIMA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;1;36544,3;2149,08;61020,37;574,01
19910;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36515,44;36515,44;0;0
128660;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36515,44;36515,44;0;0
307830;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;36513,95;4415,91;270819,74;1353,69
77879;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36505,1;36505,1;0;0
145852;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36504,04;36504,04;0;0
167447;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36501,37;13631,13;32543,07;223,82
301035;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36496,37;16193,91;195755,93;17267,8
166187;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;36464,79;2488,68;0;-860,42
24979;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;36464,73;880,93;0;480,93
139854;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36423,83;5005,49;0;0
716526;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;36422,83;-17714,36;31866,07;-18514,36
109273;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36412,42;2423,36;0;0
115792;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;24;36400,86;35526,36;8500;3759,19
180460;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36369,37;32282,84;8875,98;679,06
109925;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;36361,63;13622,9;215221,7;-6809,68
120880;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36345,08;36345,08;72550,16;0
39631;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36338,52;16341,88;12707,5;54,02
174762;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36305,87;15182,04;227301;9579,82
306098;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;36302,97;1984,02;21574,68;1184,02
135349;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36298,52;13198,79;24496,95;623,6
708202;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;36248,88;9335,3;79630,8;4312,98
167531;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36226,93;35115,91;37354;4548,2
41506;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;0;36200;1200;0;0
135210;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36186,31;12514,1;6279,03;-31,13
136701;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36167,4;25343,33;24136,05;452,49
64235;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36161,93;-34358,85;980;-19747,79
177199;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36161,02;29267,58;233877,74;13762,02
36761;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36113,96;35551,46;0;-302,3
719130;ANÓNIMA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;2;36102,85;-2000,28;60830,63;-2800,28
600095;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36100,27;22493,23;52250,94;355,18
119534;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;36066,39;24033,73;115596,46;2048,15
135256;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;36048,3;18332,31;33341,18;-17096,74
708303;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36000;36000;28600;0
3459;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;9;35992,12;19667,67;10800;-14086,98
169693;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;13;35984,91;3741,03;151220,62;390,4
712488;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35961,52;1160,84;101235,02;199,59
307756;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35940,24;26389,66;93172,95;23802,26
20722;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;35939,83;8140,26;9600;132,74
703565;ANÓNIMA;NARANJAL;PEQUEÑA;SOCIETARIO;25;35925;13023,92;173130,38;4733,96
61235;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35922,49;-35681,62;75167,49;-11361,94
82392;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35920,39;18403,09;32672,14;5581,35
117283;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35920,16;30638,99;127829,26;1241,92
122707;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35911,01;14051;349555,37;0
304039;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;35890,5;15168,32;170983,05;4328,71
82791;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;35888,95;888,95;0;-26,19
109539;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;35872,27;13862,54;47107;1631,09
100562;RESPONSABILIDAD LIMITADA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35870,38;35712,63;149900,19;8806,63
173415;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;35867,06;3527,61;56866,09;1529,91
705001;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35860,76;35860,76;0;35060,76
74155;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35860,62;15576,49;3648,81;1610,1
110862;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;35848,34;8655,49;52671,38;3166,98
130157;ANÓNIMA;GUAYAQUIL;MEDIANA;SOCIETARIO;4;35842,64;34995,34;119863,8;-39586,69
165478;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;16;35838,16;-10789,38;0;-11339,18
702014;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35826,34;-26818,72;240690,28;7771,73
67409;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;35817,03;5360,81;56084,21;140,86
701856;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35813,96;-18676,06;106742,6;2912,63
128419;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;35803,91;6745,98;57059,93;1552,9
307788;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;35800;800;0;0
65589;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;0;35799,88;35799,88;0;0
138216;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35794,31;2202,83;46682,9;698,13
716210;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;35793,24;5804,3;48853;5004,3
180475;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35742,81;34327,93;102987,11;11750,84
169802;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35701,36;35701,36;0;-449,19
120358;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35683,68;12107,67;40996;4537,67
2138;RESPONSABILIDAD LIMITADA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;35678,36;21397,24;0;-1935,51
166970;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35646,57;31140,32;0;0
177864;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;35637,81;21189,01;121272,87;598,74
124063;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;11;35624,8;4406,39;14530,06;-6245,35
720498;ANÓNIMA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;5;35622,2;800;599,1;0
109116;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35622,18;10950,75;0;0
180405;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;35617,08;-15688,66;114407,9;-7658,45
72909;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35608;35608;0;0
137481;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;35601,68;-19773,03;0;0
717841;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35517,29;22051,3;32082,63;551,3
127991;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;10;35505,53;11798,06;83755,9;-1167,3
121750;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35487,04;-1510,2;0;-354,6
23101;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35485,17;19807,39;0;48,56
181597;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35484,15;17800,23;208666,89;0
712863;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;35480,87;4297,9;126050,2;-3536,78
140313;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35479,69;19437,03;186981,78;13615,14
710308;RESPONSABILIDAD LIMITADA;ELOY ALFARO;PEQUEÑA;SOCIETARIO;5;35462,59;5508,96;236825,16;4473,51
129611;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;35446,67;7892,72;145223,47;-1299,27
115152;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35446,27;35446,27;0;0
97855;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35438,21;9927,59;1250;195,34
140655;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;35430,84;32477,5;62123,93;4323,11
305424;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;15;35417,76;25318,24;225713,66;18666,66
79396;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35410,62;3410,62;0;4,16
23515;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35404,44;16560,61;47940;2231,36
308273;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35399,4;20838,04;65988,49;15619,97
706764;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;35387,62;8645,54;900;69,78
174514;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35385,81;35385,81;0;47,28
305978;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;35380,41;6344,58;132452,04;4298,15
125174;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;9;35377,42;30977,43;33115,75;0
145239;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;35376,1;32018,68;63600;0
70567;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35365,74;2852,1;0;0
19731;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;35356,18;6599,34;33768,57;2353,68
102656;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35352,36;7378,74;185684,63;144,96
715368;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35351,33;7832,73;1687,71;-967,27
125506;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35346,85;27738,53;0;109,64
706029;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35346,64;10029,53;0;0
29061;RESPONSABILIDAD LIMITADA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;12;35343,86;1065,9;64134,77;0
102026;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35341,75;35341,75;0;0
79781;ANÓNIMA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;6;35296,96;35296,96;0;0
719777;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35271,63;20000;0;0
59351;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;35270,18;14197,39;0;0
123326;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35259,47;22297,41;55;11,7
59048;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35257,74;35038,58;0;-3426,7
44520;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35246,2;20223,84;32175,47;2248,27
35636;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;1;35219,59;28863,19;18200;2679,32
600083;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;35216,11;34660,16;35739,92;255,95
81118;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;10;35200;35200;0;0
168432;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;35184,07;-2629,08;62858,11;4690,48
25210;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;35169,89;27813,18;66287,11;281,88
169858;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35164,12;-5185,22;69875,63;-3856,25
44508;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35159,08;35159,08;0;0
309997;RESPONSABILIDAD LIMITADA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;1;35154,48;3638,15;5435,02;3238,15
180263;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;35150,4;7465,44;82317,62;6665,44
