EXPEDIENTE;TIPO;RAMA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
39740;RESPONSABILIDAD LIMITADA;F;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;1199275,96;587813,29;616750,1;7892,78
715074;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;32648,48;8866,73;129389,81;7866,73
21977;ANÓNIMA;L;GUAYAQUIL;MEDIANA;SOCIETARIO;4;4087901,07;1995747,08;1702845,69;7846,5
128806;ANÓNIMA;A;GUAYAQUIL;MEDIANA;SOCIETARIO;36;1050793,09;287583,59;809726,56;7702,69
700031;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;69170,77;21890,09;317163,51;7693,02
80086;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;126182,28;120139,91;91872;7659,26
110535;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;109812,35;55856,49;109078,47;7591,83
129639;ANÓNIMA;A;GUAYAQUIL;PEQUEÑA;SOCIETARIO;20;170533,97;135308,28;642468,78;7575,27
112616;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;16;264083,93;253300,37;135964,91;7462,87
134065;ANÓNIMA;A;DAULE;PEQUEÑA;SOCIETARIO;7;182328,79;18711,04;913567,05;7453,98
4328;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;450979,42;323113,64;32142,84;7373,91
28583;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;66927,25;55686,42;152137,84;7332,74
720541;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;16120,87;9285,2;114630;7285,2
177141;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;51359,64;44985,07;48839,91;7239,18
76306;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;138858,37;93981,55;904585,1;7163,28
308858;ANÓNIMA;J;GUAYAQUIL;PEQUEÑA;SOCIETARIO;11;18353,45;7962,74;117810,42;7162,74
302505;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;31414,2;12666,84;104004,1;7147,34
303519;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;19037,82;8429,96;75585,49;6980,29
178165;ANÓNIMA;F;VELASCO IBARRA;PEQUEÑA;SOCIETARIO;7;160000;160000;722889,52;6959,5
4934;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;292618;18686,06;18000;6950,57
125145;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;154950,25;77166,37;151579,7;6936,75
146805;ANÓNIMA;E;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;102143,75;96609;41680,28;6796,49
38591;ANÓNIMA;G;GUAYAQUIL;MEDIANA;SOCIETARIO;25;3264893,33;1027944,57;2538195,36;6781,2
59743;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;30360,39;30084,53;180593,87;6715,18
179667;ANÓNIMA;J;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;6;52037,25;13396,58;147963,65;6622,48
144127;ANÓNIMA;P;MILAGRO;PEQUEÑA;SOCIETARIO;7;169220,93;52294,76;514389,33;6615,57
19158;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;228360,84;226394,01;24857,21;6604,06
128978;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;MERCADO DE VALORES;9;48439,52;35471,9;129195,34;6513,98
172546;RESPONSABILIDAD LIMITADA;Q;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;55326,56;24138,01;148754,27;6443,61
112928;ANÓNIMA;F;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;18;109146,48;85424,44;98968,74;6398,22
39964;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;76709,62;67918,84;280016,42;6337,97
55289;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;25236,83;22626,61;16182,5;6318,57
62551;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;271746,39;7105,1;33917,8;6305,1
9334;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;89899,8;85894,4;117495,26;6267,92
80184;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;225852,55;75138,35;116630;6206,34
167455;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;69579,35;6899,92;120874,35;6198,45
173842;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;26615,67;17635,07;54883;6156,09
172165;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;18;451295,93;78917,46;443729,92;6143,73
102723;ANÓNIMA;N;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;92122,85;85008,44;133002,63;6122,91
123701;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;368003,07;78898,82;243867,24;6100,11
144463;ANÓNIMA;L;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;4;194698,59;50038,43;25480,84;6080,37
75953;ANÓNIMA;N;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;221785,46;130884,97;71619,25;6080
715300;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;118556,18;7721,76;183605,5;6049,58
43992;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;185642,17;180131,46;0;6008,37
715321;RESPONSABILIDAD LIMITADA;P;GUAYAQUIL;PEQUEÑA;SOCIETARIO;81;85750,97;11510,77;885029,4;5859,69
178446;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;11177,23;7159,23;118521,57;5835,65
119803;ANÓNIMA;I;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;404235,85;340851,45;184172,11;5817,67
43005;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;247559,02;244464,62;90000;5796,37
711561;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;52424,77;18913,29;362189,71;5792,17
600119;RESPONSABILIDAD LIMITADA;K;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;49407,55;47898,92;91544;5730,26
125916;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;484418,46;8253,66;903795,73;5705,49
714248;ANÓNIMA;J;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;24314,14;7150,83;53805,06;5703,74
29361;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;70655,49;59328,89;183277,51;5600,7
129133;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;8534,61;6395,07;109128,91;5595,07
302519;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;12;48266,37;8832,6;114507,31;5560,47
601241;ANÓNIMA;K;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;7;160221,6;69877,33;435240,49;5535,19
180953;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;377430,82;36062,66;368752,22;5454,27
125307;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;98672,56;95946,06;46501,6;5365,16
117633;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;41133,8;35210,74;134364,7;5295,52
142901;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;19879,33;5929,03;22425;5221,83
710432;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;48157,06;10273,1;125101,53;5182,23
148757;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;47367,69;40438,57;147730,42;5163,18
108287;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;62489,84;32197,81;150047,93;5159,98
27992;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;62358,19;53476,27;91616,36;5101,17
128114;ANÓNIMA;C;GUAYAQUIL;MEDIANA;SOCIETARIO;14;367418,73;45535,12;1844727,84;4974,37
708583;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;15756,89;6579,65;39545;4939,29
118743;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;10;262042,91;24291;369417,7;4901,99
117285;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;16665,21;10827,5;91924,62;4812,88
143911;RESPONSABILIDAD LIMITADA;N;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;53779;12554,35;70350;4809,1
125265;ANÓNIMA;F;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;31798,23;4353,6;168000;4796,24
302536;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;23363,7;7965,48;114245,01;4728,17
715881;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;40970,62;5494,99;233186,57;4694,99
116910;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;47000,88;40976,11;44894,65;4679,81
122779;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;806241,22;109597,46;260183,98;4586,55
56725;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;306253,52;305914,91;46389,34;4581,97
127191;ANÓNIMA;S;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;57122,62;47985,63;8965;4530,21
175376;ANÓNIMA;J;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;9405;4608,44;46000;4525,75
132572;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;MEDIANA;SOCIETARIO;4;489186,35;22970,29;1080421,37;4257,35
116831;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;MERCADO DE VALORES;10;53411,32;17064,97;138859,93;4232,81
5548;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;249547,05;249304,25;21264,2;4200,4
103370;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;79796,48;71216,01;135481,03;4200,4
165975;ANÓNIMA;P;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;48207,44;4975,13;129291,18;4199,03
76845;ANÓNIMA;C;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;25213,5;15585,8;127185,3;4112,84
717025;ANÓNIMA;I;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;4;15278,21;4888,32;168182,57;4088,32
707593;RESPONSABILIDAD LIMITADA;N;GUAYAQUIL;PEQUEÑA;SOCIETARIO;45;90946,45;57964,4;376988,5;4076,08
124084;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;4050,06;4050,06;146652,47;4050,06
134381;ANÓNIMA;K;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;181045,24;19340,47;371178,26;4037,81
75956;ANÓNIMA;N;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;22480,86;9870,4;117816,96;3983,95
712571;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;33077,2;4992,6;88980;3980,31
134983;RESPONSABILIDAD LIMITADA;N;GUAYAQUIL;MEDIANA;SOCIETARIO;133;290983,13;54659,27;1398258,3;3978,14
38822;ANÓNIMA;A;GUAYAQUIL;PEQUEÑA;SOCIETARIO;1;85617,43;70430,24;120086,8;3938,45
110208;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;9015,35;6716,82;93347,78;3934,52
709804;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;34888,21;14941,36;93364,34;3926,79
717901;ANÓNIMA;I;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;4;180424,71;5110,07;455797,33;3906,41
114375;ANÓNIMA;C;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;14;119080,04;100002,87;24420,61;3873,76
111240;ANÓNIMA;F;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;10467,2;5389,34;59017,68;3870,09
140759;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;16531,47;8643,67;44417,55;3760,17
176490;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;67712,28;9980,48;135659,95;3675,81
108092;ANÓNIMA;F;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;138197,72;15610,65;32915;3668,42
701229;ANÓNIMA;C;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;14225,72;3842,82;64539,57;3646,33
84695;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;MERCADO DE VALORES;10;98124,17;64230,93;190401,19;3539,34
28413;RESPONSABILIDAD LIMITADA;H;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;62382,22;12597,23;39527,87;3530,1
149641;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;45870,87;9094,85;26920;3515,89
8962;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;158804,34;158737,49;15800,68;3494,91
116549;ANÓNIMA;Q;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;270694,69;92406,76;164045,88;3476,04
12191;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;86054,5;11599,89;164320;3465,6
28056;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;45577,75;6442,82;147542,73;3420,87
306541;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;14193,85;10212,32;3380;3380
175194;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;0;10044,67;4147,04;36389,36;3347,04
301577;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;178803,84;33052,03;245002,58;3345,04
136256;ANÓNIMA;M;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;39569,64;39473,36;18602;3323,83
119922;ANÓNIMA;G;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;175153,92;12893,1;73648,45;3287,37
175746;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;34469,71;12733,38;355725,23;3272,23
129993;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;75914,6;43535,59;267058,33;3238,86
25378;RESPONSABILIDAD LIMITADA;P;GUAYAQUIL;PEQUEÑA;SOCIETARIO;21;88523,47;64577,21;226551,04;3226,43
121162;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;49013,94;47166,95;107323,18;3210,8
135355;ANÓNIMA;F;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;37991,76;18499,04;79703,57;3191,9
26178;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;86912,43;31448,43;93356,18;3150,59
12271;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;23912,18;21872,27;114015,65;3087,17
133693;ANÓNIMA;F;MILAGRO;MICROEMPRESA;SOCIETARIO;6;197149,88;8105,75;42246;2961,18
55557;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;102104,24;99897,92;14100;2901,87
133097;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;581575,88;86569,72;169781;2900,94
141126;RESPONSABILIDAD LIMITADA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;439546,3;75501,79;144213,46;2883,2
104020;ANÓNIMA;M;SAMBORONDÓN;PEQUEÑA;SOCIETARIO;5;203187,57;23285,19;110479,94;2835,51
4483;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;1245872,4;329644;45600;2835,25
182183;ANÓNIMA;J;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;15153,91;13458,08;60000;2816,11
133927;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;649638,6;9773,3;495401,98;2816,07
704264;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;148253,56;125925,9;376701,63;2790,89
300396;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;56182,68;10199,04;109148,43;2704,33
113037;ANÓNIMA;A;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;42399,85;35081,81;72958,6;2646,03
135083;ANÓNIMA;N;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;28242,37;5804,85;54985,75;2629,24
177900;ANÓNIMA;G;MILAGRO;MICROEMPRESA;SOCIETARIO;5;60302,98;4803,82;91827,74;2548,55
